ANO,MES,MUNICIPIO,HOMICIDIO_DOLOSO,HOMICIDIO_CULPOSO_ACIDENTE_TRANSITO,HOMICIDIO_CULPOSO_OUTROS,TENTATIVA_HOMICIDIO,LESAO_CORPORAL_DOLOSA,LESAO_CORPORAL_ACIDENTE_TRANSITO,LESAO_CORPORAL_CULPOSA_OUTRAS,LATROCINIO,ROUBO_VEICULO,ROUBO_BANCO,ROUBO_CARGA,FURTO_OUTROS,FURTO_VEICULO,ROUBO_OUTROS,TOTAL_CRIME
2001,Janeiro,Bertioga,1,0,0,2,18,7,1,0,0,0,0,93,1,13,136
2001,Fevereiro,Bertioga,2,0,0,1,8,28,1,0,5,0,0,87,8,12,152
2001,Marco,Bertioga,3,0,0,1,16,8,0,0,2,0,0,71,4,7,112
2001,Abril,Bertioga,0,3,0,0,16,14,0,0,1,0,0,81,7,6,128
2001,Maio,Bertioga,0,0,0,0,20,10,0,0,0,0,0,73,0,9,112
2001,Junho,Bertioga,1,3,0,2,21,11,0,0,1,0,0,46,0,6,91
2001,Julho,Bertioga,2,0,0,2,27,23,0,0,0,0,0,56,2,12,124
2001,Agosto,Bertioga,1,2,0,1,18,10,0,0,0,0,1,39,2,11,85
2001,Setembro,Bertioga,2,2,1,1,21,11,0,0,3,0,1,72,3,17,134
2001,Outubro,Bertioga,2,1,0,2,26,12,0,0,2,0,0,72,3,8,128
2001,Novembro,Bertioga,2,5,0,2,21,19,0,0,0,0,0,64,2,8,123
2001,Dezembro,Bertioga,2,1,0,1,20,25,0,0,0,0,0,63,1,10,123
2001,Janeiro,Cubatão,8,4,0,9,78,42,2,0,4,0,1,103,6,50,307
2001,Fevereiro,Cubatão,1,0,0,5,74,33,0,0,3,0,0,104,7,47,274
2001,Marco,Cubatão,3,3,0,4,88,30,0,0,9,0,1,135,9,52,334
2001,Abril,Cubatão,4,5,1,9,69,43,2,0,2,0,0,125,6,51,317
2001,Maio,Cubatão,3,5,0,5,68,31,0,0,0,0,0,113,8,34,267
2001,Junho,Cubatão,3,2,2,7,57,33,3,0,3,0,2,84,13,33,242
2001,Julho,Cubatão,4,4,0,4,59,33,3,0,3,0,2,88,18,63,281
2001,Agosto,Cubatão,5,2,0,5,55,31,0,0,5,0,0,89,21,47,260
2001,Setembro,Cubatão,2,3,0,6,58,30,1,0,2,0,1,91,16,61,271
2001,Outubro,Cubatão,4,3,0,10,51,39,2,0,3,0,0,106,10,44,272
2001,Novembro,Cubatão,4,8,1,5,50,28,0,0,6,0,1,110,16,47,276
2001,Dezembro,Cubatão,3,1,1,4,65,32,1,0,7,0,1,96,15,55,281
2001,Janeiro,Guarujá,18,2,1,14,183,67,6,0,8,0,0,337,34,184,854
2001,Fevereiro,Guarujá,13,0,0,12,105,44,0,0,2,0,0,251,26,156,609
2001,Marco,Guarujá,23,0,1,11,145,35,1,0,7,0,0,291,29,257,800
2001,Abril,Guarujá,15,0,0,8,120,52,1,0,6,0,1,175,23,259,660
2001,Maio,Guarujá,14,1,0,11,99,36,3,0,4,0,0,217,24,196,605
2001,Junho,Guarujá,9,1,1,4,93,49,0,0,6,0,0,193,23,180,559
2001,Julho,Guarujá,3,2,0,7,76,61,0,0,3,0,0,219,13,203,587
2001,Agosto,Guarujá,16,7,2,7,105,59,0,0,5,1,2,194,10,209,617
2001,Setembro,Guarujá,4,0,0,5,118,54,1,0,1,0,1,219,42,181,626
2001,Outubro,Guarujá,13,2,0,4,152,68,1,0,10,0,0,193,46,195,684
2001,Novembro,Guarujá,12,1,0,10,99,59,0,0,8,0,1,209,37,170,606
2001,Dezembro,Guarujá,17,1,0,6,119,75,0,1,5,0,0,217,30,176,647
2001,Janeiro,Itanhaém,2,5,0,1,75,41,0,0,3,0,0,187,24,62,400
2001,Fevereiro,Itanhaém,4,2,0,4,56,34,0,0,2,0,0,175,13,49,339
2001,Marco,Itanhaém,4,1,1,1,45,20,0,0,4,0,0,172,14,40,302
2001,Abril,Itanhaém,3,2,0,3,54,16,0,2,8,0,0,168,11,46,313
2001,Maio,Itanhaém,5,0,0,2,66,11,0,0,3,0,0,108,8,31,234
2001,Junho,Itanhaém,2,1,0,4,49,16,2,0,4,0,0,129,4,30,241
2001,Julho,Itanhaém,2,4,0,1,46,22,0,0,5,0,0,120,9,27,236
2001,Agosto,Itanhaém,4,2,1,4,47,17,2,0,2,0,0,128,7,23,237
2001,Setembro,Itanhaém,1,3,2,4,43,26,0,1,4,0,0,141,2,25,252
2001,Outubro,Itanhaém,2,1,0,8,49,22,0,0,2,0,0,133,14,36,267
2001,Novembro,Itanhaém,2,1,2,0,55,28,5,0,5,0,0,136,8,43,285
2001,Dezembro,Itanhaém,3,1,0,0,27,33,12,0,5,0,0,124,12,41,258
2001,Janeiro,Mongaguá,3,2,0,6,33,28,1,0,11,0,0,133,18,45,280
2001,Fevereiro,Mongaguá,2,2,0,1,40,19,2,0,2,0,0,129,16,29,242
2001,Marco,Mongaguá,2,0,0,2,46,11,0,0,6,0,0,111,4,22,204
2001,Abril,Mongaguá,2,1,0,6,38,9,0,0,2,0,0,113,6,29,206
2001,Maio,Mongaguá,3,0,0,2,25,8,0,0,5,0,0,88,4,12,147
2001,Junho,Mongaguá,2,1,0,3,37,8,0,0,6,0,0,95,2,22,176
