ANO,MES,MUNICIPIO,HOMICÍDIO DOLOSO (2),Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,HOMICÍDIO CULPOSO OUTROS,TENTATIVA DE HOMICÍDIO,LESÃO CORPORAL SEGUIDA DE MORTE,LESÃO CORPORAL DOLOSA,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,LESÃO CORPORAL CULPOSA - OUTRAS,LATROCÍNIO,Nº DE VÍTIMAS EM LATROCÍNIO,TOTAL DE ESTUPRO (4),ROUBOS,ROUBO DE VEÍCULO,ROUBO A BANCO,ROUBO DE CARGA,FURTO - OUTROS,FURTO DE VEÍCULO,ROUBO - OUTROS,ESTUPRO,ESTUPRO DE VULNERÁVEL
2001,Janeiro,Bertioga,1,1,0.0,0.0,0,0,2,0.0,18,7,1,0,0,0,13,0,0,0,93,1,,,
2001,Fevereiro,Bertioga,2,2,0.0,0.0,0,0,1,0.0,8,28,1,0,0,0,12,5,0,0,87,8,,,
2001,Marco,Bertioga,3,3,0.0,0.0,0,0,1,0.0,16,8,0,0,0,0,7,2,0,0,71,4,,,
2001,Abril,Bertioga,0,0,0.0,0.0,3,0,0,0.0,16,14,0,0,0,1,6,1,0,0,81,7,,,
2001,Maio,Bertioga,0,0,0.0,0.0,0,0,0,0.0,20,10,0,0,0,0,9,0,0,0,73,0,,,
2001,Junho,Bertioga,1,1,0.0,0.0,3,0,2,0.0,21,11,0,0,0,0,6,1,0,0,46,0,,,
2001,Julho,Bertioga,2,2,0.0,0.0,0,0,2,0.0,27,23,0,0,0,0,12,0,0,0,56,2,,,
2001,Agosto,Bertioga,1,1,0.0,0.0,2,0,1,0.0,18,10,0,0,0,1,11,0,0,1,39,2,,,
2001,Setembro,Bertioga,2,2,0.0,0.0,2,1,1,0.0,21,11,0,0,0,0,17,3,0,1,72,3,,,
2001,Outubro,Bertioga,2,2,0.0,0.0,1,0,2,0.0,26,12,0,0,0,0,8,2,0,0,72,3,,,
2001,Novembro,Bertioga,2,2,0.0,0.0,5,0,2,0.0,21,19,0,0,0,1,8,0,0,0,64,2,,,
2001,Dezembro,Bertioga,2,2,0.0,0.0,1,0,1,0.0,20,25,0,0,0,0,10,0,0,0,63,1,,,
2001,Janeiro,Cubatão,8,8,0.0,0.0,4,0,9,0.0,78,42,2,0,0,2,50,4,0,1,103,6,,,
2001,Fevereiro,Cubatão,1,1,0.0,0.0,0,0,5,0.0,74,33,0,0,0,2,47,3,0,0,104,7,,,
2001,Marco,Cubatão,3,3,0.0,0.0,3,0,4,0.0,88,30,0,0,0,1,52,9,0,1,135,9,,,
2001,Abril,Cubatão,4,4,0.0,0.0,5,1,9,0.0,69,43,2,0,0,7,51,2,0,0,125,6,,,
2001,Maio,Cubatão,3,3,0.0,0.0,5,0,5,0.0,68,31,0,0,0,0,34,0,0,0,113,8,,,
2001,Junho,Cubatão,3,5,0.0,0.0,2,2,7,0.0,57,33,3,0,0,2,33,3,0,2,84,13,,,
2001,Julho,Cubatão,4,5,0.0,0.0,4,0,4,0.0,59,33,3,0,0,1,63,3,0,2,88,18,,,
2001,Agosto,Cubatão,5,7,0.0,0.0,2,0,5,0.0,55,31,0,0,0,1,47,5,0,0,89,21,,,
2001,Setembro,Cubatão,2,2,0.0,0.0,3,0,6,0.0,58,30,1,0,0,2,61,2,0,1,91,16,,,
2001,Outubro,Cubatão,4,5,0.0,0.0,3,0,10,0.0,51,39,2,0,0,1,44,3,0,0,106,10,,,
2001,Novembro,Cubatão,4,4,0.0,0.0,8,1,5,0.0,50,28,0,0,0,0,47,6,0,1,110,16,,,
2001,Dezembro,Cubatão,3,3,0.0,0.0,1,1,4,0.0,65,32,1,0,0,2,55,7,0,1,96,15,,,
2001,Janeiro,Guarujá,18,19,0.0,0.0,2,1,14,0.0,183,67,6,0,0,9,184,8,0,0,337,34,,,
