ano_concessao_bolsa,tipo_bolsa,modalidade_ensino_bolsa,nome_curso_bolsa,turno,sexo_beneficiario,raca_beneficiario,municipio_beneficiario,instituicao_ensino,cpf
2005,Parcial,Presencial,Direito,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE PAULISTA,
2005,Integral,Presencial,Curso Superior De Tecnologia Em Gesto Ambiental E Segurana Do Trabalho (rea Profissional: Meio Ambiente),Noturno,Masculino,Não Informada,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2005,Integral,Presencial,Administrao,Noturno,Feminino,Branca,BERTIOGA,FACULDADE ESAMC SANTOS,
2005,Integral,Presencial,Automao Industrial,Noturno,Masculino,Preta,BERTIOGA,UNIVERSIDADE DE MOGI DAS CRUZES,
2005,Integral,Presencial,Pedagogia,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2005,Integral,Presencial,Curso Superior De Tecnologia Em Moda,Noturno,Feminino,Parda,BERTIOGA,CENTRO UNIVERSITRIO MONTE SERRAT,
2006,Integral,Presencial,Secretariado Executivo Bilngue,Noturno,Feminino,Branca,BERTIOGA,UNIVERSIDADE BRAZ CUBAS,
2006,Integral,Presencial,Fisioterapia,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE MOGI DAS CRUZES,
2006,Integral,Presencial,Arquitetura E Urbanismo,Noturno,Masculino,Parda,BERTIOGA,UNIVERSIDADE DE MOGI DAS CRUZES,
2006,Parcial,Presencial,Arquitetura E Urbanismo,Matutino,Feminino,Amarela,BERTIOGA,CENTRO UNIVERSITRIO DA GRANDE DOURADOS,
2006,Parcial,Presencial,Turismo,Noturno,Feminino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2006,Integral,Presencial,Publicidade E Propaganda,Noturno,Masculino,Parda,BERTIOGA,FACULDADE DO GUARUJ,
2006,Parcial,Presencial,Sistemas De Informao,Noturno,Masculino,Branca,BERTIOGA,FACULDADE DO GUARUJ,
2006,Integral,Presencial,Pedagogia,Noturno,Feminino,Parda,BERTIOGA,UNIVERSIDADE DE RIBEIRO PRETO,
2006,Integral,Presencial,Arquitetura E Urbanismo,Noturno,Masculino,Branca,BERTIOGA,UNIVERSIDADE CATLICA DE SANTOS,
